time,V(isense_adc),V(isense_raw),V(shunt_node)
9.880586217260979e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.885586217260978e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.890586217260978e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.895586217260978e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.900586217260978e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.905586217260978e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.910586217260977e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.915586217260977e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.920586217260977e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.925586217260977e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.930586217260976e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.935586217260976e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.940586217260976e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.945586217260976e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.950586217260976e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.955586217260975e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.960586217260975e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.965586217260975e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.970586217260975e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.975586217260975e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.980586217260974e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.985586217260974e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.990586217260974e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.995586217260974e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.000058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.000558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.001058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.001558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.002058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.002558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.003058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.003558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.004058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.004558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.005058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.005558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.006058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.006558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.007058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.007558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.008058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.008558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.009058621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.009558621726097e-02,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
1.010000000000000e-02,2.499999999999995e+00,2.499999999999989e+00,1.249999999999995e-01
1.010500000000000e-02,2.493686868686861e+00,2.374999999999951e+00,1.187499999999975e-01
1.011000000000000e-02,2.475385164779095e+00,2.249999999999999e+00,1.125000000000000e-01
1.011100000000000e-02,2.470377056046903e+00,2.224999999999974e+00,1.112499999999987e-01
1.011600000000000e-02,2.439278363516912e+00,2.100000000000023e+00,1.050000000000011e-01
1.011700000000000e-02,2.431872503232346e+00,2.074999999999998e+00,1.037499999999999e-01
1.012200000000000e-02,2.389511644319989e+00,1.950000000000046e+00,9.750000000000232e-02
1.012300000000000e-02,2.379995609702727e+00,1.925000000000021e+00,9.625000000000106e-02
1.012800000000000e-02,2.327723325894376e+00,1.800000000000070e+00,9.000000000000348e-02
1.012900000000000e-02,2.316350203243970e+00,1.775000000000045e+00,8.875000000000224e-02
1.013400000000000e-02,2.255355233219335e+00,1.650000000000093e+00,8.250000000000467e-02
1.013500000000000e-02,2.242347754625245e+00,1.625000000000068e+00,8.125000000000340e-02
1.014000000000000e-02,2.173676264259067e+00,1.500000000000117e+00,7.500000000000584e-02
1.014100000000000e-02,2.159230448169404e+00,1.475000000000092e+00,7.375000000000458e-02
1.014600000000000e-02,2.083803130172504e+00,1.350000000000140e+00,6.750000000000700e-02
1.014699999999999e-02,2.068091485326770e+00,1.325000000000115e+00,6.625000000000575e-02
1.015199999999999e-02,1.986718608021050e+00,1.200000000000163e+00,6.000000000000817e-02
1.015299999999999e-02,1.969892953115347e+00,1.175000000000138e+00,5.875000000000692e-02
1.015799999999999e-02,1.883287604315833e+00,1.050000000000187e+00,5.250000000000934e-02
1.015899999999999e-02,1.865481549488134e+00,1.025000000000162e+00,5.125000000000809e-02
1.016399999999999e-02,1.774271291964100e+00,9.000000000002105e-01,4.500000000001052e-02
1.016499999999999e-02,1.755602422659597e+00,8.750000000001855e-01,4.375000000000927e-02
1.016999999999999e-02,1.660339551683901e+00,7.500000000002338e-01,3.750000000001169e-02
1.017099999999999e-02,1.640911350595824e+00,7.250000000002088e-01,3.625000000001044e-02
1.017599999999999e-02,1.542081921242735e+00,6.000000000002572e-01,3.000000000001286e-02
1.017699999999999e-02,1.521985459742893e+00,5.750000000002322e-01,2.875000000001161e-02
1.018199999999999e-02,1.420017231486060e+00,4.500000000002808e-01,2.250000000001404e-02
1.018299999999999e-02,1.399332658191622e+00,4.250000000002557e-01,2.125000000001278e-02
1.018799999999999e-02,1.294602086657141e+00,3.000000000003040e-01,1.500000000001520e-02
1.018899999999999e-02,1.273399937464366e+00,2.750000000002792e-01,1.375000000001396e-02
1.019399999999999e-02,1.166238327619511e+00,1.500000000003276e-01,7.500000000016382e-03
1.019499999999999e-02,1.144580678617002e+00,1.250000000003024e-01,6.250000000015122e-03
1.019999999999999e-02,1.035279599968853e+00,3.508304757815495e-13,1.754152378907747e-14
1.020099999999999e-02,1.013484239969512e+00,0.000000000000000e+00,0.000000000000000e+00
1.020599999999999e-02,9.111120945180461e-01,0.000000000000000e+00,0.000000000000000e+00
1.021099999999999e-02,8.190805698192536e-01,0.000000000000000e+00,0.000000000000000e+00
1.021599999999999e-02,7.363451587263998e-01,0.000000000000000e+00,0.000000000000000e+00
1.022099999999999e-02,6.619668598651473e-01,0.000000000000000e+00,0.000000000000000e+00
1.022599999999999e-02,5.951015204848292e-01,0.000000000000000e+00,0.000000000000000e+00
1.023099999999998e-02,5.349902557893920e-01,0.000000000000000e+00,0.000000000000000e+00
1.023599999999998e-02,4.809508360126856e-01,0.000000000000000e+00,0.000000000000000e+00
1.024099999999998e-02,4.323699434861516e-01,0.000000000000000e+00,0.000000000000000e+00
1.024599999999998e-02,3.886962118208836e-01,0.000000000000000e+00,0.000000000000000e+00
1.025099999999998e-02,3.494339682026125e-01,0.000000000000000e+00,0.000000000000000e+00
1.025599999999998e-02,3.141376077781062e-01,0.000000000000000e+00,0.000000000000000e+00
1.026099999999998e-02,2.824065362853682e-01,0.000000000000000e+00,0.000000000000000e+00
1.026599999999998e-02,2.538806235292704e-01,0.000000000000000e+00,0.000000000000000e+00
1.027099999999998e-02,2.282361161020714e-01,0.000000000000000e+00,0.000000000000000e+00
1.027599999999998e-02,2.051819629604480e-01,0.000000000000000e+00,0.000000000000000e+00
1.028099999999998e-02,1.844565121563624e-01,0.000000000000000e+00,0.000000000000000e+00
1.028599999999998e-02,1.658245412314772e-01,0.000000000000000e+00,0.000000000000000e+00
1.029099999999998e-02,1.490745875717320e-01,0.000000000000000e+00,0.000000000000000e+00
1.029599999999998e-02,1.340165484230722e-01,0.000000000000000e+00,0.000000000000000e+00
1.030099999999998e-02,1.204795233298326e-01,0.000000000000000e+00,0.000000000000000e+00
1.030599999999998e-02,1.083098745086374e-01,0.000000000000000e+00,0.000000000000000e+00
1.031099999999998e-02,9.736948314412858e-02,0.000000000000000e+00,0.000000000000000e+00
1.031599999999998e-02,8.753418181643884e-02,0.000000000000000e+00,0.000000000000000e+00
1.032099999999998e-02,7.869234526932381e-02,0.000000000000000e+00,0.000000000000000e+00
1.032599999999998e-02,7.074362352494766e-02,0.000000000000000e+00,0.000000000000000e+00
1.033099999999998e-02,6.359780296687212e-02,0.000000000000000e+00,0.000000000000000e+00
1.033599999999998e-02,5.717378246516785e-02,0.000000000000000e+00,0.000000000000000e+00
1.034099999999998e-02,5.139865292323170e-02,0.000000000000000e+00,0.000000000000000e+00
1.034599999999998e-02,4.620686979967294e-02,0.000000000000000e+00,0.000000000000000e+00
1.035099999999998e-02,4.153950921384738e-02,0.000000000000000e+00,0.000000000000000e+00
1.035599999999998e-02,3.734359919224662e-02,0.000000000000000e+00,0.000000000000000e+00
1.036099999999998e-02,3.357151846575706e-02,0.000000000000000e+00,0.000000000000000e+00
1.036599999999998e-02,3.018045599446847e-02,0.000000000000000e+00,0.000000000000000e+00
1.037099999999998e-02,2.713192508593630e-02,0.000000000000000e+00,0.000000000000000e+00
1.037599999999998e-02,2.439132659240737e-02,0.000000000000000e+00,0.000000000000000e+00
1.038099999999998e-02,2.192755622953794e-02,0.000000000000000e+00,0.000000000000000e+00
1.038599999999998e-02,1.971265155988764e-02,0.000000000000000e+00,0.000000000000000e+00
