time,V(sw),I(Rmotor),I(Dfly)
1.523239918621554e-04,1.284982641054194e+00,2.374922672029588e-01,-6.958697191183916e-04
1.533239918621554e-04,1.325808236515874e+00,2.443320362739517e-01,7.006320532010335e-04
1.543239918621554e-04,1.388114376473478e+00,2.510120742420933e-01,-6.933241768614096e-04
1.553239918621554e-04,1.428997339775980e+00,2.575348882651877e-01,6.981148533702353e-04
1.563239918621554e-04,1.492854390372073e+00,2.639022047715455e-01,-6.905918372179798e-04
1.573239918621554e-04,1.534017450238877e+00,2.701163532373069e-01,6.954370962564127e-04
1.583239918621554e-04,1.599807480871750e+00,2.761788061860022e-01,-6.876510198194907e-04
1.593239918621554e-04,1.641435066698815e+00,2.820917412611375e-01,6.925737592755610e-04
1.603239918621554e-04,1.709661082867622e+00,2.878563235335111e-01,-6.844613755951912e-04
1.613239918621554e-04,1.752003898132562e+00,2.934745532312259e-01,6.894928718104154e-04
1.623239918621554e-04,1.823354241003252e+00,2.989472037361333e-01,-6.809674520846798e-04
1.633239918621554e-04,1.866766493970082e+00,3.042760555540273e-01,6.861520791678899e-04
1.643239918621554e-04,1.942228216947049e+00,3.094613519117179e-01,-6.770890636031979e-04
1.653239918621554e-04,1.987240431884112e+00,3.145045780390325e-01,6.824934810190086e-04
1.663239918621554e-04,2.068319857800542e+00,3.194052025352213e-01,-6.727025651365182e-04
1.673239918621554e-04,2.115793174754225e+00,3.241642683435647e-01,6.784351786048859e-04
1.683239918621554e-04,2.204999744164137e+00,3.287799911727914e-01,-6.675990777971208e-04
1.693239918621553e-04,2.256510129589579e+00,3.332526440150261e-01,6.738584759879984e-04
1.703239918621553e-04,2.358624191640394e+00,3.375780953527822e-01,-6.613724626891582e-04
1.713239918621553e-04,2.417704647174221e+00,3.417549269624365e-01,6.686039873571303e-04
1.723239918621553e-04,2.549093463801389e+00,3.457709767189046e-01,-6.523971035754528e-04
1.733239918621553e-04,2.625970987388776e+00,3.496199690928848e-01,6.619165996557541e-04
1.743239918621553e-04,2.866451275019075e+00,3.532504429317138e-01,-6.318703337981901e-04
1.750500000000000e-04,3.762785955789413e+00,3.554397236830575e-01,7.905810026809235e-04
1.751000000000000e-04,1.254949926826175e+01,3.553475750780303e-01,3.553475750528889e-01
1.751004984863970e-04,1.255252540858528e+01,3.553444653214043e-01,3.553444652961701e-01
1.751014954591909e-04,1.255261114366773e+01,3.553382458209897e-01,3.553382457958776e-01
1.751034894047787e-04,1.255234909055851e+01,3.553258072940211e-01,3.553258072689047e-01
1.751056462860959e-04,1.255259565899116e+01,3.553123528128981e-01,3.553123527876068e-01
